37 39 36 27 20 25 25 28 35 36 31 27 33 35 30 26 22 21 25 23 31 26 29 31 37 32 35 33 34 26 28 32 32 41 31 32 30 34 31 33 36 24 25 21 26 23 24 31 32 28 33 40 36 24 24 22 30 30 29 33
37 28 35 32 33 30 19 32 42 34 33 33 36 28 27 23 16 21 19 18 26 29 35 33 39 38 32 21 36 35 30 34 31 36 36 31 27 31 28 36 36 32 33 29 24 25 28 31 33 28 30 32 25 29 28 28 35 45 31 20
26 29 37 30 31 30 26 34 36 32 32 35 34 23 27 29 22 21 24 28 25 27 30 31 36 37 27 33 37 33 35 39 35 26 33 28 23 26 24 32 26 31 27 33 29 22 24 30 30 33 42 30 20 36 36 29 34 33 24 25
28 35 37 30 25 25 34 35 27 27 33 36 32 29 35 32 25 18 34 40 33 33 24 24 30 36 35 30 28 41 41 34 41 33 27 31 23 31 32 25 24 27 27 25 32 30 28 36 31 24 32 31 29 31 29 22 34 21 24 27
37 32 30 29 33 31 30 30 29 36 33 33 32 29 28 22 28 27 37 37 34 37 31 32 37 37 38 33 31 30 28 29 38 36 28 29 27 27 28 19 25 27 30 26 27 34 32 30 26 24 17 22 36 36 35 25 23 25 34 32
33 30 32 23 24 25 23 25 31 30 39 31 32 30 27 23 35 41 35 31 31 33 31 32 32 25 38 43 32 26 25 24 34 29 25 24 36 32 34 28 27 33 27 31 26 29 28 20 24 27 26 21 31 33 27 24 18 27 28 32
31 32 28 29 34 34 25 18 27 35 35 28 28 27 31 26 26 30 33 32 38 31 24 25 23 23 37 38 33 27 29 32 35 33 27 29 37 39 34 30 28 31 35 34 32 30 24 24 31 28 32 31 24 37 25 24 25 25 27 26
35 34 27 37 34 28 27 22 29 35 28 36 40 27 31 33 32 29 24 30 35 16 26 34 31 32 31 32 35 27 31 37 31 30 25 25 26 34 23 20 22 23 29 36 36 32 37 26 20 29 26 37 32 42 32 29 28 28 29 29
25 26 26 34 27 20 25 32 28 19 20 44 37 32 30 33 35 31 26 25 31 24 28 26 25 32 28 32 28 31 34 29 35 32 33 29 26 34 24 26 28 24 25 29 27 23 28 24 24 31 26 23 34 38 31 33 24 31 23 30
28 25 25 28 22 23 22 23 23 22 32 32 28 27 25 32 30 31 27 27 37 30 31 25 24 21 29 33 26 25 33 29 24 26 24 29 33 28 31 29 28 29 41 37 33 26 26 28 36 37 24 25 23 30 24 28 28 24 24 28
29 33 29 30 37 34 24 22 23 18 22 22 31 34 32 27 26 28 30 31 41 33 33 30 28 29 28 28 31 26 26 25 30 30 25 32 40 40 38 38 29 24 39 34 32 30 33 34 30 28 32 25 18 28 25 26 33 32 32 33
29 38 30 29 41 35 21 25 36 23 17 22 32 37 27 22 23 26 25 31 36 32 35 31 25 30 30 34 33 31 27 28 34 28 20 32 37 35 28 28 25 28 34 36 30 27 32 33 27 32 32 26 18 21 28 30 33 33 29 28
27 37 29 32 37 31 28 27 30 32 22 28 33 26 14 18 27 31 29 35 33 27 35 33 33 28 33 35 27 28 31 27 23 30 29 28 26 21 27 17 21 34 33 39 40 31 29 37 36 31 34 39 22 25 36 33 30 29 23 16
27 41 37 25 28 28 38 37 32 28 34 34 36 22 18 17 30 40 29 34 34 25 23 28 39 33 33 28 31 32 31 32 30 40 40 32 27 23 25 24 27 36 37 36 36 33 32 35 36 25 30 35 25 37 41 31 28 31 34 21
