15.4832 15.5064 15.2264 14.956 14.968 14.9872 14.7316 14.4844 14.4931 14.5088 14.2752 14.0489 14.0548 14.0673 13.8535 13.6459 13.6493 13.6589 13.4628 13.2721 13.2733 13.2803 13.1 12.9245 12.9237 12.9282 12.7622 12.6003 12.5975 12.5997 12.4464 12.2968 12.2922 12.2921 12.1502 12.0115 12.0052 12.0028 11.8711 11.7421 11.734 11.7294 11.6067 11.4864 11.4766 11.4696 11.3549 11.2424 11.2307 11.2213 11.1136 11.0078 10.9942 10.9824 10.8808 10.7809 10.7652 10.7508 10.6544 10.5596 10.5417 10.5244 10.4324 10.342 10.3216 10.3012 10.2129 10.126 10.103 10.0793
15.8008 15.8222 15.5313 15.2505 15.2605 15.2776 15.0122 14.7556 14.7621 14.7754 14.533 14.2982 14.3016 14.3116 14.0898 13.8746 13.8754 13.8825 13.6792 13.4815 13.4801 13.4845 13.2977 13.1159 13.1125 13.1143 12.9424 12.7749 12.7695 12.7691 12.6105 12.4557 12.4486 12.4459 12.2992 12.1558 12.147 12.1422 12.0061 11.873 11.8625 11.8555 11.7288 11.6048 11.5927 11.5835 11.4652 11.3493 11.3354 11.3239 11.2131 11.1043 11.0886 11.0748 10.9703 10.8678 10.8502 10.8339 10.735 10.6378 10.6181 10.5991 10.505 10.4124 10.3904 10.3685 10.2783 10.1895 10.1651 10.14
16.1298 16.1493 15.8469 15.5553 15.5631 15.578 15.3023 15.0359 15.04 15.0509 14.7992 14.5555 14.5564 14.5639 14.3336 14.1103 14.1086 14.1129 13.902 13.6971 13.693 13.6946 13.501 13.3127 13.3065 13.3056 13.1276 12.9541 12.946 12.9428 12.7787 12.6185 12.6087 12.6034 12.4517 12.3035 12.2921 12.2846 12.1441 12.0066 11.9936 11.9841 11.8534 11.7255 11.7109 11.6994 11.5775 11.4581 11.4419 11.4282 11.3141 11.2022 11.1843 11.1684 11.0611 10.9558 10.9362 10.9179 10.8165 10.7169 10.6953 10.6745 10.5781 10.4834 10.4597 10.4362 10.344 10.2533 10.2273 10.2008
16.1907 16.2088 15.904 15.6101 15.6166 15.6302 15.3524 15.0841 15.087 15.0967 14.8433 14.598 14.5978 14.6042 14.3725 14.1479 14.1451 14.1486 13.9365 13.7304 13.7254 13.7262 13.5316 13.3423 13.3353 13.3336 13.1548 12.9805 12.9717 12.9678 12.803 12.6422 12.6317 12.6258 12.4735 12.3247 12.3127 12.3048 12.1637 12.0257 12.0122 12.0023 11.8712 11.7428 11.7278 11.7159 11.5936 11.4738 11.4573 11.4432 11.3288 11.2166 11.1984 11.1822 11.0746 10.969 10.9491 10.9306 10.8289 10.729 10.7072 10.6863 10.5896 10.4947 10.4708 10.4472 10.3547 10.2639 10.2377 10.2112
16.2521 16.2688 15.9615 15.6653 15.6704 15.6827 15.4029 15.1326 15.1343 15.1428 14.8877 14.6407 14.6394 14.6447 14.4117 14.1857 14.1819 14.1844 13.9711 13.7639 13.758 13.7579 13.5623 13.372 13.3642 13.3618 13.1821 13.007 12.9975 12.9929 12.8274 12.6659 12.6548 12.6482 12.4953 12.346 12.3335 12.325 12.1834 12.0449 12.0309 12.0205 11.8889 11.7602 11.7448 11.7324 11.6097 11.4896 11.4727 11.4583 11.3435 11.2309 11.2125 11.196 11.0881 10.9822 10.962 10.9433 10.8413 10.7412 10.7192 10.6981 10.6012 10.506 10.482 10.4582 10.3655 10.2744 10.2482 10.2215
16.5681 16.5827 16.2643 15.9576 15.9605 15.9705 15.6808 15.4011 15.4003 15.4063 15.1423 14.8869 14.883 14.8856 14.6446 14.411 14.4045 14.4043 14.1838 13.9698 13.9612 13.9584 13.7564 13.56 13.5495 13.5444 13.3589 13.1783 13.1661 13.159 12.9882 12.8218 12.8082 12.7991 12.6416 12.4878 12.4728 12.4619 12.3162 12.1738 12.1574 12.1447 12.0095 11.8772 11.8596 11.8451 11.7192 11.5959 11.577 11.5606 11.443 11.3276 11.3073 11.289 11.1786 11.0703 11.0484 11.0281 10.924 10.8218 10.7983 10.7758 10.677 10.58 10.5547 10.5298 10.4355 10.3429 10.3156 10.288
16.8943 16.9068 16.5769 16.2592 16.2599 16.2674 15.9673 15.6777 15.6744 15.6778 15.4045 15.1402 15.1337 15.1335 14.8842 14.6426 14.6334 14.6303 14.4024 14.1813 14.1698 14.1642 13.9555 13.7527 13.7394 13.7315 13.5401 13.3537 13.3388 13.3289 13.1528 12.9813 12.9649 12.9532 12.7909 12.6326 12.615 12.6015 12.4516 12.3051 12.2863 12.2712 12.1322 11.9963 11.9764 11.9596 11.8304 11.7039 11.6828 11.6644 11.5438 11.4256 11.4033 11.3832 11.2702 11.1594 11.1358 11.1138 11.0074 10.903 10.8779 10.854 10.7533 10.6544 10.6278 10.6016 10.5057 10.4116 10.3831 10.3544
16.9613 16.9723 16.6396 16.3194 16.3186 16.3247 16.0223 15.7306 15.726 15.7281 15.4529 15.1868 15.179 15.1778 14.9268 14.6837 14.6734 14.6693 14.4401 14.2177 14.2053 14.1987 13.9889 13.785 13.7708 13.7621 13.5697 13.3824 13.3667 13.3561 13.1792 13.0069 12.9899 12.9775 12.8145 12.6555 12.6373 12.6233 12.4727 12.3257 12.3063 12.2907 12.1512 12.0148 11.9944 11.9772 11.8476 11.7206 11.6991 11.6803 11.5593 11.4408 11.4181 11.3976 11.2843 11.1732 11.1492 11.127 11.0203 10.9156 10.8903 10.866 10.7651 10.666 10.6391 10.6127 10.5166 10.4222 10.3935 10.3647
17.0289 17.0384 16.7029 16.38 16.3777 16.3825 16.0778 15.7839 15.7779 15.7787 15.5016 15.2337 15.2247 15.2223 14.9697 14.7251 14.7137 14.7085 14.4779 14.2542 14.2408 14.2333 14.0224 13.8174 13.8024 13.7928 13.5994 13.4113 13.3948 13.3834 13.2057 13.0326 13.0149 13.0018 12.8382 12.6785 12.6597 12.6451 12.494 12.3463 12.3264 12.3103 12.1703 12.0334 12.0125 11.9948 11.8648 11.7374 11.7155 11.6962 11.5749 11.456 11.433 11.4121 11.2985 11.187 11.1628 11.1402 11.0332 10.9283 10.9026 10.8781 10.777 10.6776 10.6505 10.6238 10.5275 10.4329 10.404 10.375
17.3393 17.3464 17.0 16.6667 16.662 16.6641 16.3496 16.0464 16.0378 16.0359 15.75 15.4738 15.4621 15.4569 15.1965 14.9445 14.9303 14.9223 14.6847 14.4544 14.4382 14.4279 14.2108 13.9999 13.9821 13.9698 13.7709 13.5775 13.5583 13.5443 13.3617 13.1839 13.1636 13.1481 12.9801 12.8163 12.795 12.7781 12.6231 12.4718 12.4496 12.4313 12.288 12.1478 12.1248 12.1052 11.9722 11.842 11.8181 11.7971 11.6733 11.5519 11.5271 11.5048 11.3889 11.2754 11.2496 11.2257 11.1169 11.0102 10.9833 10.9578 10.8551 10.7543 10.7261 10.6987 10.6012 10.5054 10.4758 10.4463
